Dptr Hour,Length of Flight (Hrs),Day of Week,Passengers Boarded,Passengers Booked 2 DtD,Stock Out Occurred,Cheese Platters Sold
16,4,Thursday,116,113,0,16
19,4,Friday,162,150,1,21
16,4,Monday,165,162,0,22
14,4,Sunday,113,109,0,15
8,1,Saturday,165,157,0,20
8,1,Monday,144,143,0,18
7,1,Thursday,120,111,0,12
7,2,Wednesday,104,103,0,11
8,2,Monday,101,97,0,14
13,1,Friday,140,136,0,17
7,1,Monday,107,103,0,11
9,5,Wednesday,112,114,0,16
10,3,Wednesday,157,154,1,15
17,6,Saturday,115,111,0,15
17,4,Friday,148,139,1,15
7,1,Tuesday,164,156,0,16
11,2,Saturday,120,118,0,15
16,5,Monday,139,136,0,19
9,4,Friday,165,166,0,24
10,2,Friday,121,120,0,15
13,5,Tuesday,157,153,1,15
9,5,Wednesday,165,153,0,23
23,1,Thursday,144,145,0,14
7,4,Monday,140,139,0,15
19,4,Monday,150,138,1,17
11,1,Wednesday,147,135,0,19
9,4,Tuesday,149,147,0,21
2,6,Sunday,117,109,0,11
14,2,Wednesday,118,112,0,15
6,3,Wednesday,140,126,0,15
11,1,Thursday,134,126,0,18
8,5,Friday,138,139,0,20
9,1,Saturday,154,144,1,17
17,3,Wednesday,141,133,1,19
11,1,Wednesday,165,166,1,21
9,1,Monday,143,133,0,19
19,3,Monday,133,126,0,18
20,3,Saturday,157,148,0,14
14,6,Friday,165,167,0,22
16,5,Friday,104,98,0,15
12,2,Thursday,162,162,0,20
17,1,Monday,165,154,0,20
12,4,Wednesday,159,155,0,22
16,1,Wednesday,131,131,1,17
12,5,Saturday,124,117,0,18
17,1,Saturday,147,147,1,19
18,1,Sunday,165,153,1,20
18,5,Monday,165,158,1,17
10,6,Wednesday,138,140,0,20
14,3,Saturday,90,84,0,11
10,3,Thursday,155,146,0,22
10,6,Sunday,146,135,0,19
19,3,Tuesday,145,135,1,20
20,3,Sunday,165,149,0,15
15,6,Sunday,153,153,1,15
12,6,Sunday,165,152,0,21
11,6,Wednesday,106,96,1,15
8,6,Sunday,151,141,0,20
16,1,Monday,113,111,0,15
5,5,Monday,141,142,0,15
12,2,Sunday,154,155,1,17
20,1,Wednesday,148,145,0,15
21,5,Friday,133,131,0,15
19,6,Monday,165,157,0,22
11,1,Friday,122,118,0,17
19,2,Friday,85,82,0,11
19,6,Friday,136,126,0,18
20,3,Monday,153,153,0,17
5,1,Wednesday,164,165,0,16
7,1,Tuesday,74,67,0,8
8,2,Friday,113,107,0,15
14,5,Friday,144,130,1,18
20,5,Wednesday,126,126,0,13
10,1,Sunday,142,136,0,17
20,5,Thursday,135,131,0,15
18,3,Thursday,108,107,0,15
16,6,Monday,142,139,0,21
10,1,Tuesday,142,140,1,19
14,6,Tuesday,84,80,0,12
21,6,Thursday,121,116,0,14
9,1,Friday,119,114,0,15
16,6,Saturday,124,121,0,16
11,6,Sunday,146,134,1,18
9,1,Tuesday,119,120,0,16
14,6,Friday,92,87,0,13
18,6,Friday,109,106,0,15
18,4,Tuesday,129,126,0,17
13,5,Monday,151,151,0,22
15,4,Sunday,163,158,1,17
7,5,Thursday,165,159,0,17
13,1,Tuesday,119,110,1,15
11,1,Wednesday,165,161,0,23
6,4,Monday,118,113,0,13
14,1,Wednesday,124,115,0,15
3,6,Tuesday,107,97,0,12
7,6,Wednesday,62,57,0,7
10,4,Monday,129,118,0,17
11,4,Sunday,165,149,1,21
13,2,Friday,134,125,1,15
7,2,Wednesday,165,161,1,16
10,1,Sunday,79,74,0,10
15,6,Wednesday,165,163,1,18
18,6,Monday,115,107,0,16
10,5,Friday,145,140,1,19
13,5,Monday,77,76,0,10
5,2,Monday,165,161,0,17
16,4,Wednesday,106,104,0,15
18,3,Tuesday,119,117,0,15
3,5,Wednesday,124,114,0,13
3,1,Wednesday,164,161,0,15
13,4,Saturday,143,137,0,18
8,4,Wednesday,106,96,0,15
13,1,Wednesday,165,158,0,20
11,3,Sunday,165,154,0,20
17,5,Wednesday,123,116,0,17
6,5,Wednesday,103,96,0,11
12,1,Wednesday,138,125,0,18
17,5,Thursday,165,164,1,16
17,1,Tuesday,126,124,0,18
9,1,Thursday,149,150,0,19
23,6,Friday,165,150,0,17
7,6,Monday,165,165,0,19
17,3,Wednesday,145,136,0,20
14,2,Thursday,149,148,0,18
8,6,Friday,161,157,0,24
11,1,Tuesday,165,155,0,22
8,3,Sunday,165,166,0,20
10,5,Saturday,162,155,1,16
22,3,Sunday,122,111,0,12
12,3,Tuesday,117,118,0,17
3,3,Wednesday,128,130,0,14
16,5,Saturday,73,70,0,9
12,1,Wednesday,107,108,0,14
17,2,Friday,123,121,0,17
16,3,Wednesday,118,108,0,16
19,6,Friday,165,153,1,19
11,6,Tuesday,80,79,0,11
11,5,Wednesday,137,139,0,19
6,3,Tuesday,125,123,0,13
6,6,Saturday,128,121,0,13
3,1,Wednesday,119,116,0,13
13,4,Tuesday,137,125,1,18
18,1,Friday,127,121,0,17
15,3,Monday,135,132,0,17
20,5,Monday,146,137,0,15
14,4,Sunday,115,104,0,15
11,5,Monday,133,127,0,18
16,6,Tuesday,127,116,1,17
10,4,Sunday,104,95,0,13
7,3,Monday,165,163,0,18
15,1,Sunday,136,128,0,17
11,4,Wednesday,130,125,0,17
9,3,Sunday,129,125,0,17
9,5,Friday,159,158,0,22
10,1,Tuesday,110,111,0,14
12,2,Tuesday,126,122,0,17
21,3,Thursday,165,163,0,18
9,4,Saturday,165,166,0,21
10,4,Monday,104,105,0,14
16,2,Wednesday,155,153,1,20
17,5,Thursday,163,156,0,22
11,2,Monday,133,133,0,18
20,4,Monday,117,108,0,12
15,6,Saturday,134,130,0,17
20,5,Sunday,164,151,0,15
12,2,Thursday,85,78,0,11
18,4,Tuesday,106,106,0,15
18,1,Wednesday,111,108,0,14
19,5,Saturday,106,104,0,13
2,6,Saturday,122,120,0,12
6,3,Sunday,143,135,0,13
18,3,Saturday,102,97,0,13
18,5,Monday,165,165,0,23
10,3,Thursday,152,148,1,17
4,1,Tuesday,135,125,0,15
6,5,Monday,105,103,0,11
12,5,Wednesday,100,97,0,14
20,3,Tuesday,132,129,0,14
12,6,Saturday,165,163,0,22
1,2,Thursday,161,162,0,17
9,6,Thursday,120,114,0,16
10,6,Tuesday,160,150,0,23
21,6,Wednesday,145,136,0,16
21,2,Friday,103,99,0,10
19,5,Saturday,165,162,1,17
6,1,Friday,117,116,0,11
10,3,Friday,161,148,1,23
11,2,Tuesday,117,106,0,15
9,4,Sunday,162,147,0,20
14,6,Friday,152,137,0,21
14,4,Friday,165,161,1,22
7,4,Wednesday,125,115,0,14
14,4,Monday,80,80,0,11
21,2,Sunday,150,135,0,14
12,4,Wednesday,165,165,0,22
12,2,Saturday,151,147,1,17
19,2,Saturday,118,116,0,14
21,5,Thursday,159,149,1,16
18,4,Saturday,153,155,0,19
9,3,Saturday,138,134,1,15
19,5,Sunday,165,149,0,20
16,5,Sunday,136,129,0,17
19,3,Sunday,122,122,0,15
14,6,Saturday,165,153,1,16
18,2,Wednesday,115,109,0,15
20,1,Saturday,137,135,0,13
16,6,Wednesday,118,119,0,16
6,2,Sunday,122,119,0,12
14,1,Thursday,118,118,0,16
15,2,Wednesday,156,142,1,16
20,6,Saturday,165,151,0,16
18,6,Saturday,161,145,0,20
9,2,Saturday,136,126,1,16
19,4,Thursday,144,133,0,20
10,5,Friday,165,164,1,18
7,5,Friday,163,164,0,18
10,6,Sunday,99,98,0,13
3,2,Monday,140,130,0,14
19,4,Monday,140,127,0,19
13,1,Sunday,165,167,0,17
12,2,Saturday,152,142,0,18
6,1,Monday,147,142,0,14
16,5,Wednesday,148,145,0,20
14,4,Sunday,131,119,0,16
5,6,Saturday,148,138,0,14
12,1,Monday,116,108,0,15
10,1,Tuesday,118,118,0,15
7,2,Monday,165,154,0,17
21,6,Thursday,139,132,0,16
5,2,Saturday,134,124,0,11
16,6,Friday,139,140,0,20
9,2,Sunday,140,140,0,17
13,5,Tuesday,122,119,0,17
21,4,Friday,142,130,0,16
12,5,Friday,154,141,0,22
16,6,Sunday,152,144,0,19
11,3,Monday,143,143,1,17
13,5,Tuesday,165,149,1,17
7,2,Friday,135,136,0,13
13,6,Wednesday,100,91,0,13
9,4,Sunday,165,152,1,20
14,5,Saturday,165,152,0,21
15,4,Monday,149,138,0,20
13,1,Sunday,165,149,1,19
13,2,Thursday,139,127,1,18
12,4,Monday,136,127,0,18
9,2,Tuesday,156,142,1,19
11,3,Monday,143,137,1,15
7,5,Saturday,147,142,0,13
16,4,Monday,141,141,0,19
10,5,Wednesday,165,153,0,23
19,5,Monday,165,163,0,23
11,6,Wednesday,164,153,1,17
21,5,Tuesday,162,155,0,18
12,4,Friday,140,132,1,15
14,4,Thursday,133,135,0,18
17,2,Wednesday,156,152,0,20
9,2,Tuesday,165,160,0,22
6,4,Wednesday,102,97,0,11
9,5,Monday,111,113,0,16
10,3,Wednesday,165,162,0,22
10,5,Sunday,162,160,0,21
12,6,Monday,159,160,0,22
4,5,Friday,94,95,0,10
18,4,Sunday,165,154,0,20
15,1,Friday,165,153,1,17
12,3,Wednesday,92,93,0,13
22,5,Monday,106,98,0,11
18,4,Monday,118,115,0,15
6,3,Sunday,146,133,0,13
9,4,Sunday,121,119,0,15
20,3,Monday,144,130,0,15
22,5,Friday,141,128,0,14
17,2,Thursday,150,142,0,20
8,4,Tuesday,165,165,0,22
8,1,Monday,165,151,0,22
18,2,Monday,165,167,0,22
9,1,Tuesday,165,158,1,17
15,1,Thursday,152,151,0,20
9,1,Saturday,122,123,0,15
19,3,Friday,165,165,1,16
17,1,Tuesday,165,167,0,21
17,3,Wednesday,129,118,1,16
12,5,Wednesday,141,140,0,19
16,1,Thursday,120,121,1,15
21,2,Thursday,159,161,0,16
18,3,Monday,96,89,0,13
15,5,Thursday,113,115,1,15
15,3,Sunday,165,166,1,17
12,2,Thursday,147,134,0,20
18,5,Wednesday,141,138,0,20
18,5,Friday,143,134,1,17
9,5,Tuesday,165,153,1,19
16,1,Sunday,134,121,0,16
12,5,Sunday,139,133,0,19
11,6,Saturday,148,140,0,20
13,5,Saturday,122,124,0,14
5,1,Sunday,160,152,0,14
15,2,Monday,134,122,0,18
13,3,Saturday,118,119,0,15
7,5,Sunday,108,109,0,11
15,5,Tuesday,124,112,0,16
11,1,Thursday,136,131,0,17
14,5,Saturday,158,144,0,20
8,4,Sunday,118,112,0,16
8,4,Thursday,165,154,1,18
10,1,Saturday,161,157,1,20
14,5,Sunday,102,93,0,13
10,2,Monday,145,145,1,16
10,6,Wednesday,122,121,0,16
15,6,Wednesday,126,124,1,16
6,1,Saturday,144,131,0,13
20,6,Thursday,136,131,0,15
15,5,Tuesday,153,139,0,21
16,6,Tuesday,159,147,1,21
22,5,Sunday,136,137,0,13
13,2,Wednesday,100,97,0,13
13,2,Wednesday,132,123,0,17
14,5,Wednesday,165,160,0,23
15,5,Friday,128,123,1,15
13,6,Sunday,165,163,0,21
12,2,Friday,146,140,0,19
20,6,Thursday,149,137,0,16
14,3,Tuesday,164,150,1,15
21,2,Friday,165,162,0,16
20,3,Saturday,156,148,1,15
8,1,Thursday,147,141,0,18
8,4,Tuesday,102,98,0,14
18,4,Saturday,153,154,1,16
7,4,Saturday,129,118,0,13
3,5,Monday,126,118,0,13
11,1,Sunday,145,136,0,17
20,6,Wednesday,117,117,0,12
18,4,Saturday,129,122,1,16
14,5,Thursday,165,160,0,23
10,6,Wednesday,162,154,1,16
18,2,Tuesday,117,107,0,16
10,1,Sunday,129,127,0,16
9,4,Tuesday,139,136,1,19
13,1,Friday,159,149,0,20
10,6,Sunday,143,138,1,18
12,3,Tuesday,165,162,0,21
11,4,Saturday,145,142,0,20
8,6,Monday,119,121,0,17
13,3,Wednesday,165,159,0,22
17,3,Wednesday,132,122,0,18
20,2,Wednesday,152,153,0,17
13,4,Monday,150,145,1,15
10,3,Monday,114,103,0,14
12,6,Thursday,120,113,0,15
12,3,Saturday,101,102,0,12
13,1,Sunday,122,120,0,15
12,1,Monday,108,105,0,15
13,3,Wednesday,164,156,0,21
19,4,Friday,144,144,0,21
16,3,Friday,141,139,0,19
12,6,Sunday,153,155,1,16
6,2,Monday,165,149,0,17
1,5,Saturday,157,154,0,16
16,6,Wednesday,156,147,1,17
15,4,Thursday,141,142,0,19
13,5,Thursday,100,91,0,14
16,3,Tuesday,136,124,0,19
4,5,Wednesday,165,158,0,16
18,5,Sunday,165,159,1,21
17,1,Wednesday,165,154,1,16
14,3,Monday,115,104,1,15
9,3,Tuesday,160,150,1,17
15,5,Thursday,136,137,0,18
8,4,Monday,141,134,0,19
12,5,Sunday,163,161,1,15
11,4,Sunday,154,141,1,19
6,4,Monday,123,117,0,13
14,5,Monday,141,136,0,20
8,1,Tuesday,135,129,0,18
9,1,Saturday,161,159,1,18
9,4,Thursday,147,147,1,15
5,5,Monday,164,156,1,15
14,3,Sunday,136,129,0,16
1,3,Tuesday,129,121,0,13
6,3,Tuesday,129,130,0,14
7,5,Friday,132,121,0,14
14,5,Thursday,150,139,1,17
8,5,Thursday,143,135,0,20
7,6,Friday,152,142,0,16
9,2,Wednesday,144,136,1,16
15,3,Monday,157,145,0,21
11,3,Sunday,148,138,0,19
18,1,Monday,134,123,0,18
13,3,Thursday,117,109,0,16
10,2,Saturday,128,119,0,16
9,1,Friday,122,113,0,15
18,4,Tuesday,162,157,1,18
8,1,Sunday,106,103,0,14
4,2,Tuesday,132,121,0,13
5,1,Saturday,107,108,0,10
17,2,Tuesday,86,85,0,11
3,5,Wednesday,161,146,0,18
17,3,Sunday,92,88,0,11
10,5,Wednesday,138,137,0,18
9,1,Tuesday,137,131,0,17
10,1,Saturday,146,132,1,16
6,1,Sunday,133,121,0,12
14,1,Wednesday,147,133,0,19
17,3,Saturday,164,163,1,16
22,5,Tuesday,111,107,0,12
18,6,Friday,158,148,1,16
23,3,Monday,163,163,0,18
17,2,Sunday,131,123,0,16
9,2,Thursday,136,129,1,17
15,3,Friday,100,98,0,14
13,3,Tuesday,145,139,0,19
15,3,Wednesday,150,144,1,19
15,5,Wednesday,122,120,0,17
21,6,Tuesday,165,150,0,17
22,3,Wednesday,108,107,0,11
9,6,Monday,139,135,0,19
14,5,Thursday,165,156,1,18
14,3,Wednesday,146,144,0,19
18,1,Monday,111,109,0,13
19,6,Sunday,165,159,0,21
18,1,Wednesday,139,131,1,17
8,6,Tuesday,132,134,0,18
12,4,Tuesday,116,118,0,15
16,4,Wednesday,122,119,0,16
6,3,Monday,131,131,0,13
17,2,Saturday,165,158,1,17
6,4,Monday,143,141,0,15
12,4,Monday,165,155,0,21
15,4,Wednesday,150,137,1,17
22,5,Tuesday,112,108,0,12
17,3,Sunday,140,139,0,17
6,4,Wednesday,165,162,0,18
19,3,Thursday,160,149,1,16
14,3,Wednesday,112,106,0,14
11,4,Thursday,142,130,1,19
7,5,Thursday,163,162,0,17
6,5,Saturday,88,83,0,9
14,6,Saturday,101,103,0,13
17,3,Sunday,165,160,1,15
13,4,Wednesday,84,84,0,12
12,1,Wednesday,122,115,0,16
14,5,Thursday,101,103,0,14
15,2,Thursday,154,144,0,21
5,3,Tuesday,124,115,0,14
7,6,Sunday,133,121,0,13
8,4,Sunday,151,152,0,19
18,5,Wednesday,165,156,0,24
7,1,Wednesday,141,130,0,14
12,2,Thursday,165,165,1,19
7,5,Wednesday,165,164,0,18
19,5,Saturday,95,92,0,12
13,4,Sunday,152,142,0,19
14,1,Tuesday,129,125,1,16
18,4,Saturday,138,132,0,19
22,4,Sunday,154,153,0,15
14,2,Tuesday,144,133,0,18
12,2,Tuesday,137,130,1,19
2,6,Friday,132,123,0,14
15,6,Thursday,140,133,1,18
17,6,Saturday,126,122,0,16
12,5,Saturday,138,135,1,15
8,5,Friday,136,125,0,18
4,4,Thursday,165,159,1,18
10,4,Sunday,149,143,0,21
16,2,Monday,119,114,0,15
20,1,Monday,89,88,0,9
9,3,Tuesday,157,153,0,22
3,1,Thursday,165,155,0,17
8,6,Wednesday,109,110,0,15
12,5,Monday,161,153,1,20
14,2,Sunday,124,125,0,15
18,2,Wednesday,96,94,0,13
9,4,Friday,152,142,0,20
20,5,Thursday,133,126,0,13
19,1,Monday,133,135,0,16
13,3,Thursday,137,130,1,18
13,4,Thursday,150,138,0,21
13,1,Tuesday,165,162,1,21
20,5,Thursday,127,126,0,15
21,4,Thursday,141,140,0,14
16,1,Sunday,131,127,0,15
11,2,Tuesday,165,161,1,19
17,1,Saturday,145,142,0,18
11,5,Wednesday,128,121,1,15
10,4,Wednesday,122,122,0,17
13,5,Thursday,148,135,0,21
11,6,Saturday,132,127,0,17
17,5,Tuesday,126,127,0,17
11,4,Sunday,99,90,0,13
13,1,Thursday,86,82,0,11
18,1,Sunday,127,116,0,14
14,4,Tuesday,157,154,1,17
9,4,Wednesday,161,152,0,22
9,5,Wednesday,122,117,0,17
9,5,Tuesday,124,123,0,18
23,4,Wednesday,136,123,0,16
9,5,Wednesday,151,147,1,21
6,4,Tuesday,134,136,0,15
7,1,Friday,127,116,0,13
12,3,Saturday,99,96,0,13
22,6,Thursday,113,109,0,12
10,4,Thursday,148,134,0,21
8,6,Tuesday,165,163,1,18
14,6,Saturday,151,152,1,20
12,2,Wednesday,129,126,0,16
19,2,Friday,101,92,0,14
16,1,Monday,156,158,1,20
18,1,Monday,131,131,1,16
14,5,Thursday,152,140,1,21
12,2,Wednesday,150,147,0,19
12,2,Saturday,155,151,1,19
9,2,Friday,129,125,0,17
17,1,Tuesday,95,90,0,13
18,2,Tuesday,152,144,0,20
3,4,Wednesday,149,138,0,15
16,5,Monday,152,139,0,21
17,2,Saturday,150,146,0,18
13,6,Monday,145,145,0,22
10,5,Saturday,165,160,0,20
14,1,Monday,128,129,0,17
14,3,Tuesday,114,115,0,16
20,4,Monday,160,150,0,16
11,1,Sunday,98,96,0,11
8,1,Sunday,143,142,0,18
15,1,Saturday,158,156,0,19
15,2,Friday,124,114,0,16
9,2,Thursday,146,132,0,21
16,1,Sunday,165,151,0,20
11,2,Tuesday,111,103,0,15
15,5,Wednesday,117,109,0,17
12,5,Monday,136,134,1,15
19,6,Thursday,165,153,0,24
13,5,Wednesday,122,110,0,16
17,2,Saturday,86,78,0,11
5,6,Monday,140,133,0,15
15,1,Friday,153,151,0,19
6,6,Friday,165,159,0,18
7,2,Saturday,119,120,0,11
20,6,Friday,124,121,0,14
8,6,Saturday,161,149,0,20
5,4,Saturday,150,136,0,15
10,4,Tuesday,165,155,1,16
20,1,Wednesday,121,116,0,13
13,4,Tuesday,151,153,0,21
12,2,Monday,147,147,1,17
18,4,Tuesday,165,166,0,22
5,1,Saturday,129,130,0,12
11,4,Tuesday,111,107,0,15
7,5,Sunday,165,150,0,17
17,4,Wednesday,160,155,0,23
18,2,Thursday,125,122,0,17
10,5,Thursday,128,129,0,17
7,5,Tuesday,165,154,0,18
12,6,Thursday,156,151,0,22
14,3,Tuesday,163,156,0,22
10,1,Tuesday,99,98,0,13
6,4,Sunday,137,130,0,14
15,6,Friday,162,147,1,22
11,5,Wednesday,128,123,0,18
7,3,Thursday,156,157,0,16
17,6,Friday,165,151,1,16
10,3,Thursday,145,131,0,19
17,2,Friday,161,163,0,20
21,4,Saturday,125,121,0,13
15,5,Friday,111,112,0,15
19,6,Wednesday,165,163,0,23
3,5,Wednesday,146,132,0,16
16,5,Wednesday,113,108,0,15
18,1,Sunday,126,125,0,14
10,1,Tuesday,165,160,0,23
7,3,Monday,125,124,0,12
21,6,Wednesday,119,111,0,14
19,2,Wednesday,122,114,0,16
13,3,Friday,144,144,0,21
17,6,Saturday,119,116,0,15
12,1,Monday,116,117,0,15
8,6,Saturday,157,154,0,20
17,6,Sunday,129,122,0,16
9,1,Wednesday,147,138,1,16
15,4,Friday,148,145,1,15
17,4,Sunday,143,132,1,17
20,3,Thursday,139,133,0,14
12,6,Sunday,142,141,1,18
16,3,Wednesday,138,136,1,18
13,6,Saturday,157,150,0,20
9,3,Monday,138,127,1,17
15,2,Thursday,114,105,0,15
15,6,Friday,128,125,0,19
5,1,Saturday,165,163,0,14
17,5,Saturday,144,137,0,18
17,5,Thursday,94,96,0,13
18,2,Saturday,142,131,0,17
15,5,Wednesday,148,150,0,20
14,3,Sunday,129,120,1,15
18,3,Thursday,122,122,0,17
15,3,Thursday,123,123,0,17
14,6,Wednesday,126,123,0,18
11,4,Wednesday,139,138,0,19
5,5,Thursday,114,103,0,13
15,5,Tuesday,112,105,0,15
20,1,Sunday,159,159,0,15
11,4,Tuesday,117,107,0,15
11,6,Monday,146,143,0,20
9,3,Thursday,165,150,0,22
14,4,Wednesday,93,88,0,12
10,4,Saturday,134,133,0,17
18,6,Friday,165,165,1,19
14,5,Wednesday,125,118,1,18
15,4,Wednesday,151,145,0,20
13,2,Thursday,148,147,0,18
3,3,Saturday,138,133,0,12
11,4,Monday,141,143,1,17
18,5,Saturday,142,139,0,18
18,6,Saturday,152,138,0,21
12,2,Thursday,124,126,0,16
12,2,Monday,141,130,0,19
10,2,Saturday,146,135,0,19
16,4,Tuesday,111,104,0,14
3,5,Tuesday,161,151,0,17
14,6,Sunday,164,151,0,21
15,2,Friday,140,139,0,19
12,3,Saturday,100,100,0,12
16,1,Tuesday,141,129,0,19
18,2,Monday,139,140,0,19
6,3,Wednesday,165,159,1,16
8,4,Saturday,122,124,0,15
16,4,Wednesday,163,161,1,17
17,2,Friday,165,157,1,20
12,1,Tuesday,149,144,0,19
18,2,Monday,125,113,1,16
19,1,Sunday,158,149,0,21
8,3,Thursday,114,111,0,16
10,2,Saturday,132,131,0,15
14,3,Monday,145,139,0,19
14,6,Saturday,120,111,0,15
12,2,Tuesday,151,148,1,19
14,2,Tuesday,98,90,0,13
13,5,Saturday,126,122,0,15
12,6,Thursday,160,148,0,23
17,5,Wednesday,144,143,1,21
14,5,Thursday,101,101,0,13
7,6,Tuesday,117,119,0,13
15,4,Sunday,165,159,1,19
11,4,Tuesday,165,163,1,20
10,5,Wednesday,154,152,1,19
19,4,Monday,72,69,0,10
11,4,Sunday,112,113,0,14
19,6,Friday,136,124,1,18
10,5,Thursday,165,157,1,23
21,6,Friday,165,155,0,18
19,1,Wednesday,154,151,0,19
12,1,Monday,115,104,1,15
13,2,Friday,97,94,0,13
13,1,Thursday,128,119,1,17
3,1,Wednesday,120,109,0,11
11,5,Sunday,142,134,1,17
22,5,Tuesday,94,92,0,10
17,2,Sunday,162,161,0,20
5,5,Thursday,132,122,0,14
19,3,Friday,138,127,0,18
19,5,Tuesday,87,80,0,12
17,5,Tuesday,159,149,0,22
14,4,Wednesday,164,165,1,19
3,6,Sunday,141,142,0,14
12,4,Saturday,154,143,0,19
14,5,Friday,102,92,0,13
8,6,Saturday,160,147,0,21
15,2,Sunday,153,150,1,15
8,5,Friday,147,134,1,15
18,1,Wednesday,147,140,0,20
11,6,Wednesday,131,129,1,18
12,5,Sunday,159,147,0,21
21,6,Saturday,151,138,0,15
9,2,Tuesday,117,112,1,15
11,5,Monday,135,129,0,19
17,4,Friday,165,162,1,17
16,5,Thursday,158,146,1,22
16,4,Monday,165,152,0,22
13,6,Tuesday,165,161,0,23
19,6,Monday,165,163,0,24
22,5,Sunday,113,105,0,11
10,5,Wednesday,136,130,0,18
11,4,Tuesday,159,159,0,21
12,4,Friday,129,117,0,18
18,5,Wednesday,109,110,0,14
10,3,Sunday,165,151,0,20
6,2,Tuesday,131,121,0,13
2,5,Monday,149,135,0,16
8,1,Monday,124,113,1,16
10,1,Tuesday,152,138,0,21
22,4,Tuesday,152,154,1,17
9,3,Sunday,152,154,0,19
14,3,Saturday,144,138,0,18
6,2,Friday,165,159,0,16
9,6,Friday,121,122,1,15
7,1,Friday,129,118,0,14
11,1,Tuesday,158,160,0,22
16,4,Sunday,132,124,1,15
7,5,Friday,144,144,0,16
20,2,Monday,162,146,0,17
17,3,Sunday,147,149,1,15
13,5,Tuesday,119,113,0,16
11,1,Monday,117,110,0,16
5,6,Friday,128,121,0,14
2,5,Tuesday,165,156,0,17
13,2,Wednesday,111,113,0,15
14,6,Wednesday,132,120,0,19
18,6,Wednesday,130,132,0,17
8,4,Sunday,133,133,0,17
11,1,Friday,131,125,1,16
19,5,Sunday,132,132,0,16
18,5,Friday,131,127,0,19
18,4,Wednesday,165,166,1,18
19,6,Sunday,111,100,0,14
8,1,Friday,112,101,0,13
10,2,Tuesday,138,140,0,18
2,4,Monday,112,112,0,11
9,3,Thursday,165,149,1,21
9,2,Wednesday,152,147,0,20
12,5,Friday,144,131,1,20
11,6,Wednesday,135,125,1,19
17,4,Friday,119,117,0,16
15,1,Wednesday,91,92,0,12
9,5,Saturday,105,105,0,13
16,5,Tuesday,165,152,0,22
5,5,Wednesday,130,117,0,14
16,2,Monday,130,126,0,18
20,2,Sunday,107,108,0,10
13,6,Tuesday,162,164,1,23
13,2,Tuesday,145,142,1,17
19,3,Sunday,159,153,0,19
16,5,Monday,134,127,0,18
16,4,Sunday,122,121,1,15
12,4,Wednesday,164,158,0,22
17,1,Monday,137,127,1,16
17,6,Sunday,145,143,0,20
21,1,Wednesday,149,151,0,15
7,1,Monday,165,149,0,18
22,2,Friday,95,94,0,10
12,4,Sunday,141,136,0,19
14,3,Tuesday,130,122,0,17
13,2,Sunday,99,99,0,12
15,2,Saturday,165,164,1,18
13,6,Tuesday,159,147,1,18
5,5,Wednesday,103,99,0,11
